# HIP Sn So Nc RArad DErad Plx pmRA pmDE e_RArad e_DErad e_Plx e_pmRA e_pmDE Ntr F2 F1 var ic Hpmag e_Hpmag sHp VA B_V e_B_V V_I UW1 UW2 UW3 UW4 UW5 UW6 UW7 UW8 UW9 UW10 UW11 UW12 UW13 UW14 UW15
# taken from HIP2.dat from https://code.google.com/p/pystaratlas/
12770 5 0 1 0.7161198247 -0.2418795264 8.3 -8.62 -9.07 0.17 0.15 0.21 0.25 0.2 73 0.28 0 0.0 0 4.2067 0.0005 0.006 0 -0.122 0.014 -0.11 1.08 -1.62 1.07 -0.22 0.95 1.01 0.98 -1.33 0.35 1.05 -1.75 0.28 -0.62 -1.66 1.0
12828 5 0 1 0.7196845878 0.1765264478 38.8 282.7 -32.53 0.26 0.22 0.32 0.4 0.27 46 1.62 0 0.0 0 4.3439 0.0013 0.006 0 0.311 0.009 0.37 1.06 -0.2 1.29 -0.03 2.85 1.0 1.0 -0.22 0.05 1.01 -0.36 0.87 0.09 0.62 1.0
12843 1 1 1 0.7203832993 -0.3241538951 70.32 334.2 37.19 1.23 1.36 1.83 1.62 1.86 87 1.34 0 6.9 0 4.5718 0.0006 0.005 0 0.481 0.012 0.54 1.11 -0.37 1.02 -0.02 0.1 1.03 -0.12 -0.03 -0.16 1.2 0.02 0.08 -0.03 -0.4 1.0
13147 5 0 1 0.7377913574 -0.5655963496 18.89 86.01 158.81 0.12 0.19 0.26 0.18 0.22 194 2.63 0 0.0 0 4.6193 0.0004 0.005 0 0.981 0.002 1.0 1.02 -0.01 1.07 0.0 1.43 1.0 -1.16 0.83 -0.36 1.02 0.55 0.18 -0.1 -1.1 1.0
13209 5 0 1 0.7416914391 0.4757905498 19.69 66.81 -116.52 0.18 0.1 0.19 0.24 0.15 65 -0.95 4 0.0 0 3.5831 0.0006 0.004 0 -0.1 0.0 -0.08 1.06 -2.17 1.03 -0.68 0.48 1.0 0.77 -0.3 0.14 1.04 -0.82 0.99 -0.33 1.59 1.0
13254 5 0 1 0.7443039667 0.6687911179 27.01 195.77 -109.98 0.16 0.12 0.19 0.17 0.15 59 -2.06 0 0.0 0 4.3081 0.0006 0.004 0 0.343 0.007 0.41 1.03 -0.03 1.07 -1.0 1.37 1.04 -0.49 -0.17 0.46 1.0 -0.23 -0.49 1.48 -0.05 1.0
13268 5 0 1 0.7448041834 0.9755610262 3.71 16.23 -13.54 0.14 0.14 0.21 0.22 0.19 86 -0.37 1 0.0 0 3.896 0.0011 0.008 2 1.69 0.007 1.64 1.06 0.86 1.03 -1.53 -0.23 1.04 0.6 0.34 -1.3 1.07 0.39 1.21 -0.31 1.91 1.0
13701 5 0 1 0.7698068323 -0.1552925886 23.89 77.36 -220.16 0.15 0.12 0.19 0.19 0.2 118 -2.12 4 0.0 0 4.0583 0.0004 0.005 0 1.088 0.025 1.08 1.43 -5.22 1.12 0.37 0.52 1.05 4.96 -1.41 1.0 1.18 -4.67 2.28 -1.66 -2.64 1.0
13847 17 3 2 0.7778143958 -0.7034503238 20.23 -52.89 21.98 0.38 0.47 0.55 0.53 0.62 150 30.46 2 0.0 136 2.9378 0.0011 0.009 0 0.128 0.012 0.17 1.07 0.45 1.18 -0.37 -0.34 1.03 1.61 0.43 -0.48 1.23 0.46 1.54 0.69 0.75 1.14
13954 5 0 1 0.7841543489 0.1554634808 5.66 6.01 -17.7 0.18 0.15 0.24 0.26 0.29 112 -2.21 0 0.0 0 4.6767 0.0004 0.005 0 -0.109 0.006 -0.09 1.2 -4.03 1.4 -1.04 0.33 1.24 -0.42 -0.08 0.5 1.13 0.18 2.79 -2.37 -1.55 1.0
